id_municipio,municipio_nome,id_ugrhi,nome_ugrhi
3540259,Pontalinda,18,São José dos Dourados
3540309,Pontes Gestal,15,Turvo / Grande
3540408,Populina,15,Turvo / Grande
3540507,Porangaba,10,Tietê / Sorocaba
3540606,Porto Feliz,10,Tietê / Sorocaba
3540705,Porto Ferreira,9,Mogi-Guaçu
3540754,Potim,2,Paraíba do Sul
3540804,Potirendaba,16,Tietê / Batalha
3540853,Pracinha,21,Peixe
3540903,Pradópolis,9,Mogi-Guaçu
3541000,Praia Grande,7,Baixada Santista
3541059,Pratânia,17,Médio Paranapanema
3541109,Presidente Alves,16,Tietê / Batalha
3541208,Presidente Bernardes,22,Pontal do Paranapanema
3541307,Presidente Epitácio,22,Pontal do Paranapanema
3541406,Presidente Prudente,22,Pontal do Paranapanema
3541505,Presidente Venceslau,22,Pontal do Paranapanema
3541604,Promissão,19,Baixo Tietê
3541653,Quadra,10,Tietê / Sorocaba
3541703,Quatá,17,Médio Paranapanema
3541802,Queiroz,20,Aguapeí
3541901,Queluz,2,Paraíba do Sul
3542008,Quintana,20,Aguapeí
3542107,Rafard,5,Piracicaba / Capivari / Jundiaí
3542206,Rancharia,17,Médio Paranapanema
3542305,Redenção da Serra,2,Paraíba do Sul
3542404,Regente Feijó,22,Pontal do Paranapanema
3542503,Reginópolis,16,Tietê / Batalha
3542602,Registro,11,Ribeira de Iguape / Litoral Sul
3542701,Restinga,8,Sapucaí / Grande
3542800,Ribeira,11,Ribeira de Iguape / Litoral Sul
3542909,Ribeirão Bonito,13,Tietê / Jacaré
3543006,Ribeirão Branco,14,Alto Paranapanema
3543105,Ribeirão Corrente,8,Sapucaí / Grande
3543204,Ribeirão do Sul,17,Médio Paranapanema
3543238,Ribeirão dos Índios,21,Peixe
3543253,Ribeirão Grande,14,Alto Paranapanema
3543303,Ribeirão Pires,6,Alto Tietê
3543402,Ribeirão Preto,4,Pardo
3543600,Rifaina,8,Sapucaí / Grande
3543709,Rincão,9,Mogi-Guaçu
3543808,Rinópolis,20,Aguapeí
3543907,Rio Claro,5,Piracicaba / Capivari / Jundiaí
3544004,Rio das Pedras,5,Piracicaba / Capivari / Jundiaí
3544103,Rio Grande da Serra,6,Alto Tietê
3544202,Riolândia,15,Turvo / Grande
3543501,Riversul,14,Alto Paranapanema
3544251,Rosana,22,Pontal do Paranapanema
3544301,Roseira,2,Paraíba do Sul
3544400,Rubiácea,19,Baixo Tietê
3544509,Rubinéia,18,São José dos Dourados
3544608,Sabino,16,Tietê / Batalha
3544707,Sagres,21,Peixe
3544806,Sales,16,Tietê / Batalha
3544905,Sales Oliveira,4,Pardo
3545001,Salesópolis,6,Alto Tietê
3545100,Salmourão,20,Aguapeí
3545159,Saltinho,5,Piracicaba / Capivari / Jundiaí
3545209,Salto,5,Piracicaba / Capivari / Jundiaí
3545308,Salto de Pirapora,10,Tietê / Sorocaba
3545407,Salto Grande,17,Médio Paranapanema
3545506,Sandovalina,22,Pontal do Paranapanema
3545605,Santa Adélia,15,Turvo / Grande
3545704,Santa Albertina,15,Turvo / Grande
3545803,Santa Bárbara d'Oeste,5,Piracicaba / Capivari / Jundiaí
3546009,Santa Branca,2,Paraíba do Sul
3546108,Santa Clara d'Oeste,15,Turvo / Grande
3546207,Santa Cruz da Conceição,9,Mogi-Guaçu
3546256,Santa Cruz da Esperança,4,Pardo
3546306,Santa Cruz das Palmeiras,9,Mogi-Guaçu
3546405,Santa Cruz do Rio Pardo,17,Médio Paranapanema
3546504,Santa Ernestina,16,Tietê / Batalha
3546603,Santa Fé do Sul,18,São José dos Dourados
3546702,Santa Gertrudes,5,Piracicaba / Capivari / Jundiaí
3546801,Santa Isabel,2,Paraíba do Sul
3546900,Santa Lúcia,9,Mogi-Guaçu
3547007,Santa Maria da Serra,5,Piracicaba / Capivari / Jundiaí
3547106,Santa Mercedes,20,Aguapeí
3547502,Santa Rita do Passa Quatro,9,Mogi-Guaçu
3547403,Santa Rita d'Oeste,15,Turvo / Grande
3547601,Santa Rosa de Viterbo,4,Pardo
3547650,Santa Salete,18,São José dos Dourados
3547205,Santana da Ponte Pensa,18,São José dos Dourados
3547304,Santana de Parnaíba,6,Alto Tietê
3547700,Santo Anastácio,22,Pontal do Paranapanema
3547809,Santo André,6,Alto Tietê
3547908,Santo Antônio da Alegria,8,Sapucaí / Grande
3548005,Santo Antônio de Posse,5,Piracicaba / Capivari / Jundiaí
3548054,Santo Antônio do Aracanguá,19,Baixo Tietê
3548104,Santo Antônio do Jardim,9,Mogi-Guaçu
3548203,Santo Antônio do Pinhal,1,Mantiqueira
3548302,Santo Expedito,21,Peixe
3548401,Santópolis do Aguapeí,20,Aguapeí
3548500,Santos,7,Baixada Santista
3548609,São Bento do Sapucaí,1,Mantiqueira
3548708,São Bernardo do Campo,6,Alto Tietê
3548807,São Caetano do Sul,6,Alto Tietê
3548906,São Carlos,13,Tietê / Jacaré
3549003,São Francisco,18,São José dos Dourados
3549102,São João da Boa Vista,9,Mogi-Guaçu
3549201,São João das Duas Pontes,18,São José dos Dourados
3549250,São João de Iracema,18,São José dos Dourados
3549300,São João do Pau d'Alho,20,Aguapeí
3549409,São Joaquim da Barra,8,Sapucaí / Grande
3549508,São José da Bela Vista,8,Sapucaí / Grande
3549607,São José do Barreiro,2,Paraíba do Sul
3549706,São José do Rio Pardo,4,Pardo
3549805,São José do Rio Preto,15,Turvo / Grande
3549904,São José dos Campos,2,Paraíba do Sul
3549953,São Lourenço da Serra,11,Ribeira de Iguape / Litoral Sul
3550001,São Luís do Paraitinga,2,Paraíba do Sul
3550100,São Manuel,13,Tietê / Jacaré
3550209,São Miguel Arcanjo,14,Alto Paranapanema
3550308,São Paulo,6,Alto Tietê
3550407,São Pedro,5,Piracicaba / Capivari / Jundiaí
3550506,São Pedro do Turvo,17,Médio Paranapanema
3550605,São Roque,10,Tietê / Sorocaba
3550704,São Sebastião,3,Litoral Norte
3550803,São Sebastião da Grama,4,Pardo
3550902,São Simão,4,Pardo
3551009,São Vicente,7,Baixada Santista
3551108,Sarapuí,10,Tietê / Sorocaba
3551207,Sarutaiá,14,Alto Paranapanema
3551306,Sebastianópolis do Sul,18,São José dos Dourados
3551405,Serra Azul,4,Pardo
3551603,Serra Negra,9,Mogi-Guaçu
