id_municipio,municipio_nome,id_cetesb
3555604,Uchoa,703
3555703,União Paulista,704
3555802,Urânia,705
3555901,Uru,706
3556008,Urupês,707
3556107,Valentim Gentil,709
3556206,Valinhos,708
3556305,Valparaíso,710
3556354,Vargem,766
3556404,Vargem Grande do Sul,711
3556453,Vargem Grande Paulista,720
3556503,Várzea Paulista,712
3556602,Vera Cruz,713
3556701,Vinhedo,714
3556800,Viradouro,715
3556909,Vista Alegre do Alto,716
3556958,Vitória Brasil,783
3557006,Votorantim,717
3557105,Votuporanga,718
3557154,Zacarias,774
